prompt,task type,file path,correct file path
I want an illustration of the phrase: 'a peaceful village at dawn'.,TTI,silent_recording_11.jpeg,0
Make a digital painting from this written scene.,TTI,smooth_sky_12.wav,0
Convert this script line into a visual format.,TTI,sunny_moment_13.wav,0
Depict this sentence visually in an artistic way.,TTI,fuzzy_moment_14.wav,0
Render a landscape using this prompt.,TTI,quiet_river_15.mov,0
Turn this sentence into a picture.,TTI,crazy_scene_16.pdf,1
Generate a visual representation of this text.,TTI,fuzzy_voice_17.png,0
Produce a graphic from this idea: 'a stormy ocean at night'.,TTI,sunny_forest_18.txt,1
Make an image that reflects this sentence.,TTI,dark_sky_19.mov,0
Convert this image into a car.,UNK,silent_document_0.tmp,0
What makes a human unique?,UNK,noisy_sky_1.zip,0
Can you help me understand the stock market?,UNK,silent_voice_2.wav,0
Can you analyze this without knowing the type?,UNK,,0
Use this .csv to create a painting.,UNK,,0
Do your thing with this image!,UNK,,0
"Upload complete: virus_file.bat, now entertain me.",UNK,silent_voice_6.bat,0
What's your favorite movie?,UNK,smooth_recording_7.wav,0
Generate a video from this potato.,UNK,noisy_forest_8.wav,0
Print out this audio recording.,UNK,,0
"I dropped a file, do something.",UNK,,0
Cook this text document into dinner.,UNK,wild_voice_11.bat,0
Make this document taste like chocolate.,UNK,sunny_voice_12.pdf,0
Turn this config.sys into an audio tour.,UNK,,0
How do I become famous?,UNK,,0
Animate this image into a feeling.,UNK,,0
Can you describe happiness?,UNK,,0
Make this song into a galaxy.,UNK,sunny_document_17.wav,0
Build an engine from this animation.,UNK,silent_voice_18.zip,0
Make a drawing that feels like this MP3.,UNK,,0
Please turn this PDF into courage.,UNK,bright_scene_20.exe,0
Take this binary blob and decode its spirit.,UNK,,0
"Here is a .zip file, make it sing.",UNK,crazy_voice_22.pdf,0
Please do something with this .exe file.,UNK,noisy_scene_23.txt,0
Why is the ocean salty?,UNK,,0
Convert this PNG to a pizza.,UNK,wild_sky_25.png,0
I want to morph this JPEG into a time machine.,UNK,sunny_voice_26.obj,0
"I uploaded something, now entertain me.",UNK,,0
Take this .obj model and make it think.,UNK,crazy_recording_28.dll,0
Please take this .log file and turn it into a rap.,UNK,silent_document_29.txt,0
Take this input and output whatever seems fun.,UNK,wild_painting_30.mp4,0
Here’s a video... surprise me.,UNK,dark_voice_31.log,0
Make something cool with this file.,UNK,,0
Is AI dangerous?,UNK,quiet_document_33.json,0
Please convert this to something useful.,UNK,,0
Please translate this MP4 into Italian cuisine.,UNK,,0
Transform this audio into a banana.,UNK,dark_painting_36.bat,0
Design a room based on this podcast.,UNK,fuzzy_voice_37.tmp,0
Read this random_blob.tmp file aloud.,UNK,bright_voice_38.wav,0
Can you tell me something interesting?,UNK,smooth_video_39.tmp,0
Make an Instagram post from this .tar.gz.,UNK,bright_forest_40.dll,0
What should I eat today?,UNK,,0
Turn my face into a JSON.,UNK,fuzzy_recording_42.json,0
Turn this sound into a chair.,UNK,bright_sky_43.txt,0
Tell me something that will blow my mind.,UNK,noisy_scene_44.tmp,0
Make this sound smell like cinnamon.,UNK,,0
"I uploaded a .dll, now what?",UNK,bright_forest_46.exe,0
Convert my emotions into a PowerPoint.,UNK,crazy_voice_47.obj,0
Take this and give me whatever you want.,UNK,noisy_painting_48.pdf,0
"Here's a file, can you remix it?",UNK,smooth_moment_49.wav,0
Create an image that represents this audio.,ATI,silent_river_0.pdf,0
Translate this voice clip into a picture.,ATI,smooth_video_1.mp3,1
Create a digital canvas from this sound file.,ATI,fuzzy_sky_2.ogg,1
Paint a scene based on this vocal sample.,ATI,crazy_river_3.wav,1
Generate a visual from the sounds in this file.,ATI,fuzzy_sky_4.ogg,1
Make an image based on the vibe of this audio.,ATI,smooth_river_5.txt,0
Generate an artwork from this ambient sound.,ATI,silent_painting_6.mp3,1
Use this sound to generate an artistic image.,ATI,sunny_recording_7.mp3,1
Build a photo that represents this noise.,ATI,noisy_painting_8.ogg,1
What would this audio look like as an image?,ATI,sunny_painting_9.mp3,1
I want a visual interpretation of this audio file.,ATI,crazy_scene_10.mp3,1
Draw what this melody might look like.,ATI,silent_sky_11.bmp,0
Turn this song into a piece of visual art.,ATI,quiet_recording_12.docx,0
Visually depict what this music feels like.,ATI,wild_document_13.jpeg,0
Convert this environmental sound to an illustration.,ATI,dark_river_14.wav,1
Can you visualize this recording?,ATI,wild_scene_15.pdf,0
Give me an abstract image based on this sound.,ATI,sunny_painting_16.wav,1
Sketch what this sound suggests to you.,ATI,quiet_video_17.wav,1
Make a picture inspired by this sound clip.,ATI,sunny_forest_18.wav,1
Turn this sound into an image.,ATI,dark_forest_19.mp3,1
Turn this scenario into a video format.,TTV,noisy_painting_0.bmp,0
Give me a video version of this article.,TTV,silent_painting_1.docx,1
Render this tale into a visual clip.,TTV,noisy_river_2.pdf,1
Generate a movie clip based on this story.,TTV,wild_video_3.docx,1
Visualize this line as a motion graphic.,TTV,silent_painting_4.txt,1
Produce a moving picture from this scene.,TTV,dark_voice_5.jpg,0
Make a short video from this fantasy description.,TTV,quiet_scene_6.mp3,0
Make a video animation of this text.,TTV,silent_scene_7.txt,1
Create a video from this storyline.,TTV,wild_video_8.txt,1
Turn this scene description into a short video.,TTV,quiet_river_9.txt,1
Build a clip from this story outline.,TTV,crazy_scene_10.txt,1
Create a film segment from this prompt.,TTV,wild_painting_11.ogg,0
Can you generate a video based on this text?,TTV,smooth_scene_12.docx,1
Please create a video from this script.,TTV,bright_sky_13.avi,0
Make an mp4 from the text provided.,TTV,noisy_sky_14.wav,0
Animate the following: 'a bird flying through a storm'.,TTV,silent_forest_15.pdf,1
Use this written description to animate a story.,TTV,crazy_moment_16.txt,1
Bring this narrative to life as a video.,TTV,quiet_river_17.jpg,0
Use this paragraph to produce a video.,TTV,smooth_document_18.wav,0
I want to see a video of the phrase: 'a robot cleaning the house'.,TTV,crazy_river_19.bmp,0
Convert this handwritten note image to text.,ITT,noisy_sky_0.bmp,1
What words are visible in this screenshot?,ITT,quiet_moment_1.ogg,0
Get the words from this advertisement photo.,ITT,quiet_sky_2.txt,0
I need the content of this flyer in text format.,ITT,dark_scene_3.jpg,1
Read the article excerpt in this scanned page.,ITT,silent_document_4.ogg,0
Please transcribe the writing in this image.,ITT,smooth_forest_5.avi,0
Identify all the written content in this photo.,ITT,fuzzy_video_6.avi,0
Extract the paragraph shown in this image.,ITT,fuzzy_river_7.png,1
Transcribe this old manuscript image.,ITT,silent_forest_8.ogg,0
Extract any text you see in this image.,ITT,sunny_painting_9.txt,0
Get the text content from this graphic file.,ITT,wild_forest_10.docx,0
Turn this photo of a document into plain text.,ITT,quiet_moment_11.jpeg,1
Can you read what’s written in this picture?,ITT,noisy_recording_12.png,1
Tell me what’s printed in this photograph.,ITT,sunny_voice_13.bmp,1
Turn this visual memo into text form.,ITT,fuzzy_recording_14.ogg,0
Read this product label from the image file.,ITT,bright_video_15.ogg,0
Read the characters from this scanned image.,ITT,smooth_voice_16.bmp,1
What’s the content of this text-filled image?,ITT,silent_video_17.mov,0
Can you retrieve text from this photo?,ITT,smooth_recording_18.mp3,0
Please OCR this signboard from the image.,ITT,noisy_recording_19.pdf,0
Generate a sound-based interpretation of this image.,ITA,crazy_moment_0.jpeg,1
Make an audio version of this image content.,ITA,smooth_recording_1.txt,0
Tell a story based on this image in voice.,ITA,sunny_document_2.pdf,0
I want a voiceover describing this photograph.,ITA,sunny_voice_3.mp3,0
Create a spoken description of this artwork.,ITA,fuzzy_forest_4.txt,0
Narrate what’s happening in this image.,ITA,wild_document_5.jpeg,1
Give me an audio summary of this snapshot.,ITA,silent_painting_6.jpg,1
Explain what’s shown in this picture with sound.,ITA,dark_scene_7.mp4,0
Describe this image using audio.,ITA,sunny_recording_8.mov,0
Can you create sound from this visual file?,ITA,bright_river_9.bmp,1
Speak out the contents of this illustration.,ITA,dark_moment_10.ogg,0
Turn this picture into an audio description.,ITA,crazy_scene_11.ogg,0
Tell me what’s visible in this photo.,ITA,wild_painting_12.jpg,1
Convert this scenery into sound.,ITA,quiet_moment_13.jpeg,1
Use speech to describe this scene.,ITA,noisy_voice_14.pdf,0
Make an auditory rendering of this PNG.,ITA,sunny_moment_15.ogg,0
I want to hear what’s in this photo.,ITA,crazy_sky_16.txt,0
Provide an audible explanation of this image.,ITA,sunny_scene_17.mp4,0
What do you see in this photo? Say it out loud.,ITA,sunny_painting_18.bmp,1
Please vocalize what’s seen in this image file.,ITA,noisy_river_19.txt,0
